id,package,review,oracle,output-dice,output-jaccard,output-vsm,topic
c5a3b737-df4f-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,"DO NOT UPDATE! '""""""""""""""""WAS"""""""""""""""" 1 of the best mileage apps i have used so far but update FORCE CLOSES when trying to open app htc Dream 1.5""""",no,0,0,0,
cbbd9b11-df4f-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,just updated now force closes lost all entries,no,0,0,0,
066e0522-df50-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Was working fine till now. After upgrade force close every time. Galaxy Spica,no,0,0,0,
0e39deb6-df50-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,I did backup...not restoring and force closes. don't upgrade! is there a way to install older version?,no,0,0,0,
106ac87c-df50-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Love this app but update force closes on G2,no,0,0,0,
4eb1c6f1-df50-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Consistant crashing on Import Data,no,0,0,0,
544d52fe-df50-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Getting error and force close. Unable to use. EVO- Android 2.2,no,0,0,0,
9e14a685-df50-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,I'm a little irritated right now with this app since it keeps forcing closed when I try to restore my latest back up so I'm not happy right now.,no,0,0,0,restore
a474bb15-df50-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Excellent program with all the trimmings! Only problem: force close after upgrading my Cliq to Android v2.1 and had to reinstall.,no,0,0,0,
a6be0edb-df50-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,This app is utter garbage when you have to reinstall it for any reason. The import backups force closes on Heros and Desires!! Use aCar instead.,no,0,0,0,
e9789401-df50-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Import causes crashes. Please fix,no,0,0,0,import
f29caaa1-df50-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Crashes when trying to import previously exported backup,no,0,0,0,import
486c70c8-df51-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,To fix force closes when importing CSV files  try different date/time formats. I had wrong one selected. Dev  need better error handling for inputs.,no,0,0,0,csv format
4c7a09d5-df51-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Force close when importing previously created backups. I spend hours to import at first time and now forced to find another app,no,0,0,0,import
4d26c49a-df51-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Force closes when importing backup csv file. emailed developer and received no response. epic 4g,no,0,0,0,import
4ebddf60-df51-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Had been working great on G1. On G2 w/android 2.2  force closes when try to import previous database.,no,0,0,0,import
